event_id,user_action,description
2012,"Check your Internet connectivity settings.","The antimalware engine encountered an error when trying to use the Dynamic Signature Service."
2013,-,"The Dynamic Signature Service deleted all dynamic definitions."
2020,-,"The antimalware engine downloaded a clean file."
2021,"Check your Internet connectivity settings. The Microsoft Defender Antivirus client encountered an error when using the Dynamic Signature Service to download the latest definitions to a specific threat. This error is likely caused by a network connectivity issue.","The antimalware engine failed to download a clean file."
2030,-,"The antimalware engine was downloaded and is configured to run offline on the next system restart."
2031,-,"The antimalware engine was unable to download and configure an offline scan."
2040,-,"Antimalware support for this operating system version will soon end."
2041,-,"Antimalware support for this operating system has ended. You must upgrade the operating system for continued support."
2042,-,"The antimalware engine no longer supports this operating system, and is no longer protecting your system from malware."
3002,"You should restart the system then run a full scan because it's possible the system wasn't protected for some time. The Microsoft Defender Antivirus client's real-time protection feature encountered an error because one of the services failed to start. If it's followed by a 3007 event ID, the failure was temporary and the antimalware client recovered from the failure.","Real-time protection encountered an error and failed."
3007,"The real-time protection feature restarted. If this event happens again, contact Microsoft Technical Support.","Real-time protection recovered from a failure. We recommend running a full system scan when you see this error."
5000,-,"Real-time protection is enabled."
5001,-,"Real-time protection is disabled."
5004,-,"The real-time protection configuration changed."
5007,-,"The antimalware platform configuration changed."
5008,"To troubleshoot this event:
- Try to restart the service.
  -- For antimalware, antivirus and spyware, at an elevated command prompt, type net stop msmpsvc, and then type net start msmpsvc to restart the antimalware engine.
  -- For the Network Inspection System, at an elevated command prompt, type net start nissrv, and then type net start nissrv to restart the Network Inspection System engine by using the NiSSRV.exe file.
  -- If it fails in the same way, look up the error code by accessing the Microsoft Support Site and entering the error number in the Search box, and contact Microsoft Technical Support.
User action: The Microsoft Defender Antivirus client engine stopped due to an unexpected error. To troubleshoot this event:
- Run the scan again.
- If it fails in the same way, go to the Microsoft Support site, enter the error number in the Search box to look for the error code.
- Contact Microsoft Technical Support.","The antimalware engine encountered an error and failed."
5009,-,"Scanning for malware and other potentially unwanted software is enabled."
5010,-,"Scanning for malware and other potentially unwanted software is disabled."
5011,-,"Scanning for viruses is enabled."
5012,-,"Scanning for viruses is disabled."
5013,-,-
5100,-,"The antimalware platform will expire soon."
5101,-,"The antimalware platform is expired."
